product,price,kilometraje
toyota prado 2.7 sumo,63000000,256000
ford fiesta se 1.6,55000000,36300
toyota fj cruiser 4.0 v6,115000000,58000
ford ecosport 2.0 titanium edicion especial,47900000,75000
bmw x3 2.0 xdrive30e tp hìbrido 4x4,277000000,1800
ford edge 3.5 titanium,72000000,92382
toyota corolla cross 1.8 se-g hybrid at 4x2,130900000,27400
toyota fortuner 2.4 diesel 4x2 at,169000000,50756
ford explorer 3.5 limited 4x4 gasolina,98000000,70900
mazda cx-30 2.0 grand touring hybrid,125400000,18419
jac s2 1.5 hfc7151eav,41000000,85000
renault duster oroch 2.0 zen 4x4,70000000,69986
chevrolet captiva 2.4 sport 182 hp,43000000,112000
mazda 3 2.0 lxna0 all new,50000000,57105
jeep wrangler 3.6 sport 4x4,164900000,21000
hyundai i10 1.1 gl,29500000,85200
mercedes-benz clase glb 200 1.3 amg line,153000000,41700
land rover discovery 5 3.0 s mhev tp hibrido 7 puestos,340000000,19500
chevrolet corsa 1.4 active,16500000,106400
volkswagen t-cross 1.0 trendline,89000000,16200
nissan versa 1.6 advance,69000000,20000
bmw x6 3.0 xdrive35i,127000000,76000
nissan x-trail 2.5 exclusive,65000000,92000
honda pilot 3.5 exl at 4x4,75990000,124529
chevrolet sonic 1.6 lt,28700000,118000
audi q5 2.0 tfsi s-tronic luxury,97000000,71000
renault duster 2.0 dynamique 4x2,70000000,43930
toyota corolla 1.8 se-g,44500000,154000
honda pilot 3.5,160000000,17000
ford escape 3.0 xlt,36000000,170512
chevrolet blazer 3.6 rs,124000000,41240
suzuki swift 1.2,39000000,32000
nissan frontier 2.5 le 4x4,115000000,115324
nissan kicks 1.6 exclusive tp,83500000,2600
toyota rav4 hybrid 4x4,177500000,36800
ford ecosport 1.5 se,61000000,36000
renault sandero 1.6 dynamique at,32500000,78300
ford fiesta 1.6 sportback titanium,54900000,23700
volkswagen crossfox 1.6l,39000000,71600
mitsubishi l200 sportero 2.5,180000000,44800
renault duster 2.0 dynamique at,41000000,92800
mazda cx-30 2.5 grand touring lx 4x4,112000000,18000
suzuki vitara 1.6 live 2wd at,82000000,11000
renault captur 2.0,68500000,74000
toyota prado 3.0 tx-l,190000000,90000
toyota fortuner 2.7l 4x2,94500000,106000
mazda 3 2.0 touring,64000000,32489
nissan frontier 2.4 d22/np300,57000000,114000
mercedes-benz clase gla 1.6 200 urban,103000000,41000
kia sportage 2.0 fq,39900000,161100
chevrolet tracker 1.8 ls,38000000,133000
nissan sentra 2.0 std,25000000,110000
kia sportage 2.0 revolution lx mt,72000000,10100
ford fiesta 1.6 sportback at,32900000,101628
mazda cx-30 2.0 prime,95000000,4940
ssangyong actyon 2.3 a230 4x2 mt,33000000,129452
kia sportage 2.4 revolution 4x4 at,60000000,120000
renault kangoo 1.6,39500000,108000
jeep wrangler 3.6 sport,130000000,48164
bmw x3 3.0 si,43000000,145000
toyota hilux 2.5 4x4,86900000,220000
hyundai tucson 2.7 gls,35000000,173219
audi q5 2.0 tfsi s-tronic luxury,71000000,42900
nissan march 1.6 advance at,36000000,114000
chevrolet d-max 2.5 crd doble cabina,92000000,219500
hyundai accent vision 1.6 gls mt,25000000,118900
mazda cx-30 2.0 touring at,90000000,21400
nissan versa 1.6 drive,47500000,35200
jeep compass 2.4 4x2 sport,91000000,24000
suzuki swift hibrid 1.2,72000000,19000
mercedes-benz clase glk 2.2 cdi 4matic,99000000,32000
ford edge 2.0 sel,130000000,22000
volkswagen t-cross camioneta,109000000,400
ssangyong kyron 2.0 m200 xdi,31000000,160000
nissan x-trail 2.5 exclusive,108000000,37600
mazda mx-5 sport,85000000,39800
volkswagen gol 1.6 trendline,41900000,34900
mercedes-benz clase gla 1.6,86000000,79000
ford escape 2.0 se 4x2,62000000,75600
honda civic 1.6 ex vtec 4 p,25000000,188200
renault stepway 1.6 dynamique / intens mecanica,40500000,38500
mazda 2 1.5 grand touring,62000000,63105
mazda cx-30 2.0 prime mt,91000000,13507
renault duster 1.6 expression mecanica,40000000,56400
renault logan 1.6 expression / life +,48900000,30000
renault twingo 1.2 access +,16900000,96500
hyundai tucson ix-35 2.0l 156 hp,60000000,82000
kia sportage 2.0 revolution,65000000,103000
renault megane 1.4l,15000000,160616
audi a4 1.8 tfsi ambition,52000000,56000
chevrolet onix 1.4 ltz 4 p,45000000,42000
jeep cherokee limited,65000000,182000
mazda 2 1.5 grand touring lx,83500000,8150
mitsubishi outlander 2.4 kaiteki,115000000,46000
bmw x6 3.0 xdrive35i,164900000,75000
toyota corolla 1.8 se-g hybrid tp,111000000,21700
bmw serie 1 f40  2.0,146900000,7200
renault koleos sportway,63000000,73000
kia cerato forte 2.0 koup,45000000,109000
volkswagen gol trendline,31800000,88000
chevrolet spark 1.0 go,16000000,125000
suzuki vitara 1.6 gl,91000000,37000
toyota fortuner srv-5,89900000,113202
ford ecosport 1.5 se at,61000000,28200
mazda 2 1.5 touring aut,65000000,20000
renault duster 1.3 intense cvt,79000000,21000
hyundai accent 1.3 l,12500000,1
mazda cx-5 touring,75000000,87200
citroën ds3 1.6 sport chic 120hp,32000000,82000
renault kwid zen,41500000,7061
volkswagen escarabajo escarabajo,24000000,422350
ssangyong korando 2.0 c fl diesel 4x2,49900000,46700
renault logan 1.6 life,46900000,13500
volvo v40 1.5 t3 drive-e sport,74000000,28300
mercedes-benz clase a 1.6 a 200,82000000,36500
hyundai santa fe mt 2400cc   4x2,84500000,64570
toyota fortuner 2.7 4x2 mecanica gasolina,85000000,156260
toyota prado 3.0 txl at 4x4 diesel,160000000,180114
volkswagen jetta 2.5 trendline,42500000,77800
audi q3 1.4 tfsi ambition,125000000,35000
ford escape 3.0 xlt,31500000,133500
toyota 4runner 4.0 sr5 fl,170000000,44400
bmw serie 2 3.0 m240i f22 coupe,140000000,24000
bmw i3 s atelier,129000000,28000
ford fiesta 1.6 titanium at,55000000,39000
ford escape 2.0 se 4x4,65000000,74758
hyundai tucson ix-35 2.0l crdi 4x2,57600000,83000
chevrolet onix ltz automatico,50000000,54751
